Channel 1,Channel 2
32001,32000
32001,32000
32001,32000
32001,32000
32000,32000
32000,31999
32000,31999
32000,31999
32000,31999
32000,31999
32000,31998
32000,31998
31999,31998
31999,31998
31999,31997
31999,31997
31999,31997
31998,31996
31998,31996
31998,31996
31998,31996
31997,31995
31997,31995
31997,31995
31996,31994
31996,31994
31996,31994
31995,31994
31995,31993
31994,31993
31994,31992
31994,31992
31993,31992
31993,31992
31992,31991
31992,31991
31991,31991
31991,31991
31990,31990
31990,31990
31990,31990
31989,31990
31989,31989
31988,31989
31988,31989
31987,31988
31987,31988
31986,31988
31985,31987
31985,31987
31984,31987
31984,31986
31983,31986
31983,31986
31982,31986
31982,31985
31981,31985
31981,31984
31980,31984
31980,31984
31979,31983
31979,31983
31978,31983
31978,31982
31977,31982
31976,31982
31976,31981
31975,31981
31975,31980
31974,31980
31973,31980
31973,31979
31972,31979
31972,31978
31971,31978
31970,31977
31970,31977
31969,31976
31968,31976
31968,31976
31967,31975
31966,31974
31966,31974
31965,31974
31964,31973
31964,31973
31963,31972
31962,31972
31962,31971
31961,31971
31960,31970
31960,31970
31959,31969
31958,31968
31958,31968
31957,31968
31956,31967
31956,31967
31955,31966
31955,31966
31954,31965
31953,31964
31953,31964
31952,31963
31952,31963
31951,31962
31950,31962
31950,31961
31949,31961
31949,31960
31948,31959
31947,31959
31947,31958
31946,31958
31945,31957
31945,31956
31944,31956
31943,31955
31943,31955
31942,31954
31941,31953
31940,31953
31940,31952
31939,31951
31938,31951
31938,31950
31937,31949
31936,31949
31935,31948
31934,31947
31934,31947
31933,31946
31932,31945
31931,31944
31931,31944
31930,31943
31929,31942
31929,31942
31928,31941
31927,31940
31927,31940
31926,31939
31925,31938
31925,31938
31924,31937
31923,31936
31922,31935
31922,31935
31921,31934
31920,31933
31920,31932
31919,31932
31918,31931
31917,31930
31916,31929
31916,31928
31915,31928
31914,31927
31913,31926
31912,31925
31912,31924
31911,31924
31910,31923
31909,31922
31908,31921
31907,31920
31906,31920
31906,31919
31905,31918
31904,31917
31903,31917
31902,31916
31902,31915
31901,31914
31900,31913
31899,31912
31898,31912
31898,31911
31897,31910
31896,31909
31895,31908
31894,31907
31894,31907
31893,31906
31892,31905
31891,31904
31891,31903
31890,31902
31889,31902
31888,31900
31887,31900
31886,31899
31886,31898
31885,31897
31884,31896
31883,31895
31882,31894
31881,31893
31880,31892
31879,31891
31878,31890
31877,31890
31876,31889
31875,31888
31874,31887
31873,31886
31872,31885
31871,31884
31870,31883
31869,31882
31868,31881
31867,31880
31866,31879
31865,31878
31864,31878
31863,31877
31862,31876
31861,31875
31860,31874
31859,31873
31858,31872
31858,31871
31856,31870
31855,31869
31854,31868
31854,31867
31853,31866
31852,31865
31851,31864
31850,31863
31849,31862
31848,31862
31847,31861
31846,31860
31845,31859
31844,31858
31843,31857
31842,31856
31841,31855
31840,31854
31839,31853
31838,31852
31837,31851
31836,31850
31835,31849
31834,31848
31833,31847
31832,31846
31831,31845
31830,31844
31829,31842
31828,31842
31827,31840
31826,31839
31825,31838
31824,31838
31823,31836
31822,31835
31821,31834
31820,31833
31819,31832
31818,31831
31817,31830
31816,31829
31815,31828
31814,31827
31813,31826
31812,31825
31811,31824
31810,31823
31809,31822
31808,31820
31807,31819
31806,31818
31805,31817
31804,31816
31803,31815
31802,31814
31800,31813
31799,31812
31798,31811
31797,31810
31796,31809
31795,31808
31794,31806
31793,31805
31792,31804
31791,31803
31790,31802
31789,31801
31788,31800
31787,31799
31786,31798
31785,31797
31784,31795
31783,31794
31782,31793
31780,31792
31779,31791
31778,31790
31777,31789
31776,31788
31775,31786
31774,31785
31773,31784
31771,31783
31770,31782
31769,31781
31768,31780
31767,31778
31766,31777
31765,31776
31764,31775
31762,31774
31761,31773
31760,31772
31759,31770
31758,31769
31757,31768
31756,31767
31755,31766
31754,31764
31752,31763
31751,31762
31750,31761
31749,31760
31748,31758
31746,31757
31745,31756
31744,31755
31743,31754
31742,31752
31740,31751
31739,31750
31738,31749
31737,31748
31736,31747
31735,31746
31734,31744
31732,31743
31731,31742
31730,31741
31729,31740
31728,31738
31727,31737
31725,31736
31724,31735
31723,31734
31722,31732
31720,31731
31719,31730
31718,31729
31717,31727
31716,31726
31714,31725
31713,31724
31712,31723
31711,31722
31710,31720
31709,31719
31707,31718
31706,31717
31705,31715
31704,31714
31703,31713
31702,31712
31700,31710
31699,31709
31698,31708
31697,31707
31696,31706
31694,31704
31693,31703
31692,31702
31691,31701
31690,31699
31688,31698
31687,31697
31686,31696
31684,31694
31683,31693
31682,31692
31680,31691
31679,31689
31678,31688
31677,31687
31675,31686
31674,31684
31673,31683
31672,31682
31670,31680
31669,31679
31668,31678
31667,31676
31666,31675
31664,31674
31663,31673
31662,31671
31661,31670
31659,31669
31658,31668
31657,31666
31656,31665
31655,31664
31653,31662
31652,31661
31651,31660
31650,31658
31648,31657
31647,31656
31646,31655
31645,31653
31643,31652
31642,31651
31641,31650
31639,31648
31638,31647
31637,31646
31636,31644
31634,31643
31633,31642
31632,31640
31630,31639
31629,31638
31628,31637
31627,31635
31625,31634
31624,31632
31623,31631
31621,31630
31620,31629
31619,31627
31618,31626
31616,31625
31615,31623
31614,31622
31612,31621
31611,31619
31610,31618
31609,31617
31608,31615
31606,31614
31605,31613
31604,31611
31603,31610
31601,31609
31600,31608
31599,31606
31598,31605
31596,31604
31595,31602
31594,31601
31592,31599
31591,31598
31590,31597
31588,31595
31587,31594
31586,31593
31584,31591
31583,31590
31582,31589
31580,31588
31579,31586
31578,31585
31576,31584
31575,31582
31574,31581
31572,31580
31571,31578
31570,31577
31568,31575
31567,31574
31566,31573
31565,31571
31563,31570
31562,31569
31561,31567
31559,31566
31558,31565
31557,31563
31555,31562
31554,31561
31553,31559
31551,31558
31550,31557
31549,31555
31548,31554
31546,31552
31545,31551
31544,31550
31542,31548
31541,31547
31540,31546
31538,31544
31537,31543
31536,31542
31534,31540
31533,31539
31532,31537
31530,31536
31529,31535
31528,31533
31526,31532
31525,31530
31523,31529
31522,31528
31521,31526
31519,31525
31518,31524
31517,31522
31515,31521
31514,31519
31513,31518
31511,31516
31510,31515
31509,31514
31507,31512
31506,31511
31505,31510
31504,31508
31502,31507
31501,31505
31500,31504
31498,31503
31497,31501
31496,31500
31495,31498
31493,31497
31492,31496
31491,31494
31489,31493
31488,31492
31487,31490
31485,31489
31484,31488
31483,31486
31481,31485
31480,31483
31478,31482
31477,31481
31476,31479
31474,31478
31473,31476
31472,31475
31470,31474
31469,31472
31468,31471
31466,31469
31465,31468
31464,31466
31462,31465
31461,31464
31460,31462
31458,31461
31457,31459
31456,31458
31454,31456
31453,31455
31452,31454
31450,31452
31449,31451
31448,31449
31446,31448
31445,31446
31444,31445
31442,31444
31441,31442
31440,31441
31438,31440
31437,31438
31436,31437
31434,31435
31433,31434
31431,31432
31430,31431
31429,31430
31427,31428
31426,31427
31425,31425
31423,31424
31422,31422
31421,31421
31419,31419
31418,31418
31416,31416
31415,31415
31414,31414
31412,31412
31411,31411
31410,31410
31408,31408
31407,31407
31405,31405
31404,31404
31403,31402
31401,31401
31400,31400
31399,31398
31397,31397
31396,31395
31395,31394
31393,31392
31392,31391
31391,31390
31389,31388
31388,31387
31386,31385
31385,31384
31384,31382
31382,31381
31381,31380
31380,31378
31378,31377
31377,31375
31375,31374
31374,31372
31372,31371
31371,31369
31370,31368
31368,31366
31367,31365
31365,31363
31364,31362
31362,31360
31361,31359
31360,31358
31358,31356
31357,31354
31355,31353
31354,31352
31353,31350
31351,31349
31350,31347
31349,31346
31347,31344
31346,31343
31345,31341
31343,31340
31342,31338
31341,31337
31339,31335
31338,31334
31337,31332
31335,31331
31334,31329
31332,31328
31331,31326
31330,31325
31328,31324
31327,31322
31326,31321
31324,31319
31323,31318
31322,31316
31320,31315
31319,31313
31318,31312
31316,31310
31315,31309
31313,31308
31312,31306
31311,31305
31309,31303
31308,31302
31306,31300
31305,31299
31304,31297
31302,31296
31301,31294
31299,31293
31298,31291
31297,31290
31295,31288
31294,31287
31292,31285
31291,31284
31290,31282
31288,31281
31287,31280
31286,31278
31284,31276
31283,31275
31282,31274
31280,31272
31279,31271
31278,31269
31276,31268
31275,31266
31273,31265
31272,31263
31271,31262
31269,31260
31268,31259
31266,31257
31265,31256
31264,31254
31262,31253
31261,31251
31259,31250
31258,31248
31256,31247
31255,31245
31254,31244
31252,31242
31251,31241
31249,31239
31248,31238
31246,31236
31245,31235
31244,31233
31242,31232
31241,31230
31239,31229
31238,31227
31236,31226
31235,31224
31234,31223
31232,31221
31231,31220
31230,31218
31228,31217
31227,31215
31226,31214
31224,31212
31223,31211
31221,31209
31220,31208
31219,31206
31217,31205
31216,31203
31214,31202
31213,31200
31212,31199
31210,31197
31209,31196
31207,31194
31206,31193
31205,31191
31203,31190
31202,31188
31200,31187
31199,31185
31198,31184
31196,31182
31195,31181
31193,31179
31192,31178
31190,31176
31189,31175
31187,31173
31186,31172
31185,31170
31183,31169
31182,31167
31180,31166
31179,31164
31178,31163
31176,31161
31175,31160
31173,31158
31172,31156
31170,31155
31169,31154
31168,31152
31166,31150
31165,31149
31163,31147
31162,31146
31161,31144
31159,31143
31158,31141
31157,31140
31155,31138
31154,31137
31153,31135
31151,31134
31150,31132
31148,31131
31147,31129
31146,31128
31144,31126
31143,31125
31142,31123
31140,31122
31139,31120
31137,31119
31136,31117
31135,31116
31133,31114
31132,31113
31130,31111
31129,31110
31128,31108
31126,31107
31125,31105
31124,31104
31122,31102
31121,31101
31119,31099
31118,31098
31117,31096
31115,31094
31114,31093
31113,31092
31111,31090
31110,31088
31108,31087
31107,31085
31106,31084
31104,31082
31103,31081
31102,31079
31100,31078
31099,31076
31097,31075
31096,31073
31094,31072
31093,31070
31092,31068
31090,31067
31089,31065
31087,31064
31086,31062
31084,31061
31083,31059
31082,31058
31080,31056
31079,31055
31077,31053
31076,31052
31074,31050
31073,31048
31072,31047
31070,31045
31069,31044
31067,31042
31066,31041
31065,31039
31063,31038
31062,31036
31061,31035
31059,31033
31058,31032
31057,31030
31055,31029
31054,31027
31053,31026
31051,31024
31050,31022
31048,31021
31047,31019
31046,31018
31044,31016
31043,31015
31041,31013
31040,31012
31039,31010
31037,31009
31036,31007
31034,31006
31033,31004
31031,31003
31030,31001
31029,31000
31027,30998
31026,30997
31024,30995
31023,30994
31021,30992
31020,30990
31018,30989
31017,30987
31016,30986
31014,30984
31013,30983
31011,30981
31010,30980
31008,30978
31007,30977
31005,30975
31004,30974
31002,30972
31001,30971
30999,30969
30998,30968
30996,30966
30995,30964
30994,30963
30992,30961
30991,30960
30989,30958
30988,30957
30987,30955
30985,30954
30984,30952
30982,30950
30981,30949
30980,30947
30978,30946
30977,30944
30975,30943
30974,30941
30972,30940
30971,30938
30970,30936
30968,30935
30967,30933
30965,30932
30964,30930
30962,30929
30961,30927
30959,30926
30958,30924
30956,30923
30955,30921
30954,30920
30952,30918
30951,30916
30949,30915
30948,30914
30946,30912
30945,30910
30944,30909
30942,30907
30941,30906
30939,30904
30938,30903
30936,30901
30935,30900
30934,30898
30932,30897
30931,30895
30929,30894
30928,30892
30926,30890
30925,30889
30924,30887
30922,30886
30921,30884
30919,30883
30918,30881
30917,30880
30915,30878
30914,30876
30912,30875
30911,30873
30910,30872
30908,30870
30907,30869
30905,30867
30904,30866
30902,30864
30901,30863
30900,30861
30898,30859
30897,30858
30895,30856
30894,30855
30892,30853
30891,30852
30890,30850
30888,30848
30887,30847
30885,30845
30884,30844
30883,30842
30881,30841
30880,30839
30878,30838
30877,30836
30876,30834
30874,30833
30873,30831
30871,30830
30870,30828
30869,30827
30867,30825
30866,30824
30864,30822
30863,30820
30862,30819
30860,30817
30859,30816
30857,30814
30856,30812
30855,30811
30853,30809
30852,30808
30850,30806
30849,30805
30848,30803
30846,30802
30845,30800
30843,30798
30842,30797
30841,30795
30839,30794
30838,30792
30836,30791
30835,30789
