Channel 1,Channel 2
32000,32000
32000,32000
32000,32000
32000,32001
32000,32001
32000,32001
32000,32001
32000,32001
31999,32001
31999,32001
31999,32001
31999,32002
31998,32002
31998,32002
31998,32002
31997,32002
31997,32003
31997,32003
31996,32003
31996,32003
31996,32003
31995,32004
31995,32004
31995,32004
31994,32004
31994,32005
31993,32005
31993,32005
31993,32005
31992,32006
31992,32006
31991,32006
31991,32007
31990,32007
31990,32007
31989,32007
31989,32008
31988,32008
31988,32008
31988,32008
31987,32009
31987,32009
31986,32009
31986,32010
31985,32010
31985,32010
31984,32011
31984,32011
31983,32011
31983,32011
31982,32012
31982,32012
31981,32012
31981,32013
31980,32013
31979,32013
31979,32014
31978,32014
31978,32015
31977,32015
31976,32015
31976,32016
31975,32016
31975,32016
31974,32017
31973,32017
31973,32017
31972,32018
31972,32018
31971,32019
31971,32019
31970,32019
31969,32020
31969,32020
31968,32021
31967,32021
31967,32021
31966,32022
31966,32022
31965,32023
31964,32023
31964,32023
31963,32024
31963,32024
31962,32025
31961,32025
31961,32025
31960,32026
31960,32026
31959,32027
31959,32027
31958,32028
31957,32028
31957,32028
31956,32029
31955,32029
31955,32030
31954,32030
31954,32031
31953,32031
31952,32031
31952,32032
31951,32032
31951,32033
31950,32033
31950,32034
31949,32034
31948,32035
31948,32035
31947,32036
31947,32036
31946,32037
31945,32037
31945,32038
31944,32038
31943,32039
31943,32039
31942,32040
31942,32041
31941,32041
31940,32042
31940,32042
31939,32043
31939,32043
31938,32044
31937,32044
31937,32045
31936,32045
31935,32046
31935,32047
31934,32047
31934,32048
31933,32048
31932,32049
31932,32049
31931,32050
31930,32051
31930,32051
31929,32052
31928,32052
31928,32053
31927,32053
31926,32054
31925,32055
31925,32055
31924,32056
31923,32057
31923,32057
31922,32058
31921,32059
31921,32059
31920,32060
31919,32061
31919,32061
31918,32062
31917,32062
31917,32063
31916,32064
31916,32064
31915,32065
31914,32065
31914,32066
31913,32067
31912,32067
31912,32068
31911,32069
31911,32069
31910,32070
31909,32071
31908,32071
31908,32072
31907,32073
31906,32074
31905,32074
31904,32075
31904,32076
31903,32077
31902,32077
31901,32078
31901,32079
31900,32080
31899,32080
31899,32081
31898,32082
31897,32083
31896,32083
31896,32084
31895,32085
31894,32086
31893,32086
31893,32087
31892,32088
31891,32089
31890,32089
31889,32090
31889,32091
31888,32092
31887,32093
31886,32094
31886,32095
31885,32095
31884,32096
31883,32097
31882,32098
31881,32099
31881,32099
31880,32100
31879,32101
31878,32102
31878,32103
31877,32104
31876,32104
31876,32105
31875,32106
31874,32107
31873,32108
31873,32108
31872,32109
31871,32110
31870,32111
31869,32112
31868,32113
31868,32113
31867,32115
31866,32115
31865,32116
31864,32117
31863,32118
31862,32119
31862,32120
31861,32121
31860,32122
31859,32123
31858,32124
31857,32124
31857,32125
31856,32126
31855,32127
31854,32128
31853,32129
31853,32130
31852,32131
31851,32132
31850,32133
31849,32134
31848,32135
31847,32136
31847,32137
31846,32138
31845,32139
31844,32140
31843,32141
31842,32142
31841,32143
31840,32144
31839,32145
31839,32146
31838,32147
31837,32147
31836,32148
31836,32149
31835,32150
31834,32151
31833,32152
31833,32153
31832,32154
31831,32155
31830,32156
31829,32157
31829,32158
31828,32159
31827,32161
31826,32161
31825,32163
31824,32164
31823,32165
31822,32166
31821,32167
31820,32168
31819,32169
31818,32170
31817,32171
31816,32172
31815,32173
31814,32174
31813,32175
31813,32176
31812,32177
31811,32179
31810,32180
31809,32181
31809,32182
31808,32183
31807,32184
31806,32185
31805,32186
31804,32187
31804,32188
31803,32189
31802,32190
31801,32191
31800,32193
31799,32194
31798,32195
31797,32196
31796,32197
31795,32198
31794,32199
31794,32200
31793,32201
31792,32203
31791,32204
31790,32205
31789,32206
31788,32207
31788,32208
31787,32209
31786,32210
31785,32211
31784,32213
31783,32214
31782,32215
31781,32216
31780,32217
31779,32218
31778,32220
31777,32221
31776,32222
31775,32223
31775,32224
31774,32225
31773,32227
31772,32227
31771,32229
31771,32230
31770,32231
31769,32232
31768,32233
31767,32234
31767,32236
31766,32237
31765,32238
31764,32239
31763,32240
31762,32241
31761,32243
31760,32244
31759,32245
31758,32246
31757,32247
31756,32249
31755,32250
31755,32251
31754,32252
31753,32253
31752,32255
31751,32256
31750,32257
31749,32258
31749,32259
31748,32261
31747,32262
31746,32263
31745,32264
31744,32265
31743,32267
31743,32268
31742,32269
31741,32270
31740,32272
31739,32273
31738,32274
31737,32275
31736,32277
31735,32278
31734,32279
31733,32281
31732,32282
31731,32283
31731,32284
31730,32285
31729,32287
31728,32288
31727,32289
31727,32290
31726,32292
31725,32293
31724,32294
31723,32295
31723,32297
31722,32298
31721,32299
31720,32301
31719,32302
31718,32303
31717,32304
31716,32306
31715,32307
31714,32308
31713,32309
31712,32311
31711,32312
31710,32314
31709,32315
31708,32316
31707,32317
31706,32319
31706,32320
31705,32321
31704,32323
31703,32324
31703,32325
31702,32326
31701,32328
31700,32329
31699,32330
31698,32332
31697,32333
31696,32334
31696,32335
31695,32337
31694,32338
31693,32339
31692,32341
31691,32342
31691,32343
31690,32345
31689,32346
31688,32347
31687,32349
31686,32350
31685,32351
31684,32353
31683,32354
31683,32355
31682,32357
31681,32358
31680,32359
31679,32361
31678,32362
31677,32363
31677,32365
31676,32366
31675,32367
31674,32369
31673,32370
31673,32371
31672,32373
31671,32374
31670,32375
31669,32377
31668,32378
31667,32379
31666,32381
31665,32382
31664,32383
31663,32385
31663,32386
31661,32387
31660,32388
31659,32390
31658,32391
31657,32392
31656,32394
31655,32395
31655,32397
31654,32398
31653,32399
31652,32401
31651,32402
31650,32403
31649,32405
31648,32406
31647,32407
31646,32409
31645,32410
31644,32411
31643,32413
31642,32414
31641,32415
31640,32417
31639,32418
31638,32420
31637,32421
31636,32422
31635,32424
31635,32425
31634,32427
31633,32428
31632,32429
31631,32431
31630,32432
31629,32433
31628,32435
31627,32436
31626,32438
