Channel 1,Channel 2
32017,32014
32017,32014
32017,32014
32017,32014
32017,32014
32018,32014
32018,32014
32018,32014
32018,32014
32018,32014
32018,32013
32018,32013
32019,32013
32019,32012
32019,32012
32019,32012
32019,32012
32019,32012
32019,32011
32020,32011
32020,32011
32020,32010
32020,32010
32021,32010
32021,32010
32021,32009
32021,32009
32022,32009
32022,32008
32022,32008
32023,32008
32023,32007
32023,32007
32024,32006
32024,32006
32025,32006
32025,32006
32025,32005
32026,32005
32026,32005
32027,32004
32027,32004
32027,32004
32028,32003
32028,32003
32028,32003
32029,32002
32029,32002
32030,32002
32030,32001
32031,32001
32031,32001
32032,32000
32032,32000
32033,32000
32033,31999
32034,31999
32034,31998
32035,31998
32035,31997
32035,31997
32036,31997
32036,31996
32037,31996
32037,31996
32038,31995
32038,31995
32039,31994
32039,31994
32040,31994
32040,31993
32040,31993
32041,31993
32041,31992
32042,31992
32042,31991
32043,31991
32043,31991
32043,31990
32044,31990
32044,31989
32045,31989
32045,31988
32046,31988
32046,31988
32047,31987
32047,31987
32047,31986
32048,31986
32048,31986
32049,31985
32049,31985
32049,31984
32050,31984
32050,31983
32051,31983
32051,31982
32052,31982
32052,31982
32053,31981
32053,31981
32053,31980
32054,31980
32054,31979
32055,31979
32056,31978
32056,31978
32057,31977
32057,31977
32058,31976
32058,31976
32059,31975
32059,31974
32060,31974
32060,31973
32061,31973
32061,31972
32062,31972
32063,31971
32063,31971
32064,31970
32064,31970
32065,31969
32065,31969
32066,31968
32066,31968
32067,31967
32068,31967
32068,31966
32069,31966
32069,31965
32070,31964
32071,31964
32071,31963
32072,31963
32072,31962
32073,31962
32074,31961
32074,31961
32075,31960
32076,31960
32076,31959
32077,31958
32077,31958
32078,31957
32079,31957
32079,31956
32080,31956
32080,31955
32081,31955
32082,31954
32082,31954
32083,31953
32084,31952
32084,31952
32085,31951
32086,31951
32086,31950
32087,31950
32088,31949
32088,31948
32089,31948
32089,31947
32090,31947
32091,31946
32092,31946
32092,31945
32093,31944
32094,31944
32094,31943
32095,31942
32096,31942
32097,31941
32097,31940
32098,31940
32099,31939
32100,31938
32101,31938
32101,31937
32102,31936
32103,31936
32104,31935
32104,31934
32105,31934
32106,31933
32107,31932
32107,31932
32108,31931
32109,31930
32110,31930
32110,31929
32111,31928
32112,31928
32113,31927
32113,31926
